id,energy,ra,dec,reconstruction,gamma_d0,damping_d0
1,44729.695,0.8217592,0.11378086,Shower,2.614420939887216e-05,0.999973856132358
2,101722.3,3.391436,-0.15843026,Shower,2.86438842268242e-05,0.9999713565260053
3,67136.5,2.231976,-0.6050689,Track,6.0804184255595694e-05,0.9999391976642813
4,144204.58,2.89947,-0.83245194,Shower,7.26795254282983e-05,0.9999273231156645
7,29600.297,0.08632578,0.23668148,Shower,1.2805165117811458e-05,0.9999871949168679
8,19719.76,3.1638415,-0.3709753,Track,9.444314207982598e-06,0.9999905557303894
9,55321.05,2.392781,0.6775408,Shower,3.0103944200337846e-05,0.9999698965089189
10,83561.04,0.21443474,-0.106719196,Shower,2.2951801693310303e-05,0.9999770484616973
11,79761.805,2.5906293,0.14145473,Shower,3.465572924200073e-05,0.9999653448712609
12,78448.91,5.1321554,-0.87968504,Shower,5.4585878744361714e-05,0.9999454156110376
13,255581.23,1.2386636,0.69976735,Track,8.983418898991922e-05,0.99991016984598
14,942578.4,4.686571,-0.4421343,Shower,0.0009414764374686609,0.9990589666124212
15,53827.46,0.58702445,-1.3452429,Shower,2.7034055073972034e-05,0.9999729663103428
16,27114.434,2.7678576,-0.31464967,Shower,1.711350719780125e-05,0.9999828866392374
17,173575.6,4.1857395,0.3921507,Shower,0.0007330913432693555,0.9992671773025381
18,33121.773,6.0493083,-0.43114683,Track,1.1306479097227505e-05,0.9999886935848208
19,64047.215,1.503175,-1.2126492,Shower,5.737109809777663e-05,0.9999426305475922
20,1193096.9,0.64520675,-1.1534078,Shower,0.00023085836962919538,0.9997691682761137
21,27355.457,1.156137,-0.47456312,Shower,2.4226031856361534e-05,0.9999757742615916
22,194737.84,5.22561,-0.24196859,Shower,0.00010077392343448455,0.9998992311540867
23,81364.59,3.6190338,-0.28497565,Track,2.170510985194905e-05,0.9999782951257022
24,26638.078,4.424169,-0.18719015,Shower,2.1595966762268556e-05,0.9999784042664289
25,35887.84,1.1860509,-0.18184705,Shower,6.558197124461202e-05,0.9999344201792059
26,168316.34,2.7687445,0.4699893,Shower,0.0001654212788385377,0.9998345924025068
27,51042.066,2.1252322,-0.35020867,Shower,2.0140946836343132e-05,0.9999798592559912
28,47699.125,2.8926778,-1.2313738,Track,1.428293534427897e-05,0.9999857171666564
29,29447.152,5.273434,0.796253,Shower,2.0337922675087005e-05,0.999979662284139
30,121181.914,1.9727392,-1.3570366,Shower,4.168147755954846e-05,0.9999583193911011
31,35328.402,4.020431,0.7664309,Shower,1.8690464468761977e-05,0.9999813097101968
33,302198.4,4.989859,0.1610637,Shower,7.468959817520254e-05,0.9999253131910234
34,40240.477,0.10715328,0.38095945,Shower,1.0895050887617286e-05,0.9999891050084633
35,2074963.1,4.290588,-0.9026534,Shower,0.00040251585166925486,0.9995975651469681
36,25469.158,4.282944,0.100454286,Shower,9.66093228935529e-06,0.9999903391143773
37,24099.504,2.950465,0.36108157,Track,1.647202509092168e-05,0.9999835281105721
38,167372.55,1.6302724,0.28812546,Track,5.604753802644281e-05,0.9999439540326075
39,94405.83,2.508285,-0.46356428,Shower,6.557049520042053e-05,0.9999344316544975
40,138372.14,2.8157825,-0.5655615,Shower,3.888119566092742e-05,0.999961119560203
41,73717.01,1.3058722,0.045773808,Shower,2.463353351355917e-05,0.9999753667698894
43,29446.205,3.8473892,-0.42949668,Shower,8.799722622277185e-06,0.9999912003160951
44,70793.59,5.883715,-0.009264876,Track,3.598681061202535e-05,0.9999640138369055
45,320395.72,3.882865,-1.5006334,Track,0.00013577431016231718,0.9998642349067521
46,136868.19,2.779506,-0.26143286,Shower,0.001333834495444744,0.9986670546664104
47,62983.625,3.5613596,1.0140584,Shower,2.0960487628896503e-05,0.9999790397320406
48,99209.82,3.612332,-0.38887057,Shower,5.710480825267813e-05,0.9999428968221958
49,55050.207,2.4632957,-0.6758563,Shower,2.3478816966603564e-05,0.9999765214586587
50,20261.828,2.3692446,1.0955069,Shower,8.228755100325852e-06,0.9999917712787558
51,57254.07,1.2961106,0.8803892,Shower,6.53215891618327e-05,0.9999346805442467
