galaxy_id,distance_mpc,radius_kpc,v_obs,v_obs_err,v_gas,v_disk,v_bulge,v_baryon_ml1,target_archive_accel,d0_shape_response
CamB,3.36,0.16,1.99,1.5,1.86,3.75,0.0,4.185940754478018,0.0,109.513125
CamB,3.36,0.41,4.84,1.5,4.24,9.47,0.0,10.375861410022784,0.0,240.43072200172236
CamB,3.36,0.57,6.79,1.5,5.61,11.76,0.0,13.029570215475259,0.0,243.3150350773257
CamB,3.36,0.73,8.87,1.5,6.77,13.72,0.0,15.299388876683931,0.0,233.35512252150352
CamB,3.36,0.9,10.9,1.5,7.77,14.8,0.0,16.715648357153245,0.0,200.11523823714418
CamB,3.36,1.06,12.9,1.5,8.44,15.24,0.0,17.420998823259247,0.0,173.16842146059943
CamB,3.36,1.22,14.7,1.5,8.64,15.11,0.0,17.405795012006777,0.0,149.8501686094474
CamB,3.36,1.47,16.8,1.5,8.08,15.9,0.0,17.835257217096704,0.0,119.54029584880143
CamB,3.36,1.79,20.1,1.5,6.91,14.91,0.0,16.433386747715762,74.8345251396648,89.51409021305199
D564-8,8.79,0.51,8.54,1.53,3.47,6.36,0.0,7.245032781154272,40.08058823529409,102.92254901960786
D564-8,8.79,1.02,15.1,1.41,5.33,8.66,0.0,10.168800322555262,122.16225490196078,78.66378105270769
D564-8,8.79,1.53,19.8,1.8,6.34,9.09,0.0,11.082585438425458,175.95836601307192,60.122786585177316
D564-8,8.79,2.04,21.9,1.82,6.86,8.75,0.0,11.118547567016117,174.50387254901958,45.951890671829766
D564-8,8.79,2.56,24.0,1.89,7.05,8.17,0.0,10.791264986089443,179.511171875,34.936446802287605
D564-8,8.79,3.07,25.0,2.05,7.04,7.65,0.0,10.39635032114636,168.37651465798047,26.7019523728581
D631-7,7.72,0.45,8.41,1.58,8.4,9.99,0.0,13.052206709978202,0.0,378.57800000000003
D631-7,7.72,0.9,17.8,2.22,13.51,15.52,0.0,20.57645499108143,0.0,433.9734261706507
D631-7,7.72,1.35,26.0,2.35,16.7,20.76,0.0,26.643340631384795,0.0,447.571849177248
D631-7,7.72,1.8,30.9,2.22,18.72,21.37,0.0,28.40977472631559,82.05261111111105,404.4666589108831
D631-7,7.72,2.25,34.7,1.82,19.9,19.92,0.0,28.156995578363823,182.7882666666668,365.5128857439518
D631-7,7.72,2.69,38.8,1.81,20.61,18.76,0.0,27.869512015821158,270.90345724907064,331.05487749667856
D631-7,7.72,3.14,42.5,1.57,20.73,17.36,0.0,27.03890715247197,342.40366242038215,299.17131844502086
D631-7,7.72,3.59,45.6,1.59,20.61,16.32,0.0,26.289056658617476,386.6979108635099,270.3584325865431
D631-7,7.72,4.04,48.8,1.83,20.38,15.37,0.0,25.52609057415569,428.1828465346534,244.320486504407
D631-7,7.72,4.49,51.8,1.91,19.9,14.49,0.0,24.616459940454476,462.6436302895322,220.79022856682025
D631-7,7.72,4.94,54.8,2.19,19.43,13.72,0.0,23.785779364990336,493.375850202429,199.52614587524337
D631-7,7.72,5.39,56.6,2.73,18.84,13.04,0.0,22.912599154177162,496.9522820037106,180.30998539312873
D631-7,7.72,5.84,58.4,3.27,18.25,12.45,0.0,22.092193191261025,500.42722602739724,162.94451381223334
D631-7,7.72,6.29,58.5,3.95,17.65,11.93,0.0,21.303694515271285,471.9241017488077,147.2514931639327
D631-7,7.72,6.74,57.7,4.07,17.06,11.48,0.0,20.562927807099843,431.2249258160238,133.06985139735235
D631-7,7.72,7.19,57.3,3.94,16.47,11.08,0.0,19.850120906432785,401.8446036161334,120.25402914726219
DDO064,6.8,0.1,6.29,4.62,-1.13,1.96,0.0,2.262410219213129,344.456,51.18499999999998
DDO064,6.8,0.3,13.9,4.62,-2.45,6.31,0.0,6.768943787622999,491.3046666666668,147.4615031146136
DDO064,6.8,0.49,15.6,4.62,-0.64,9.67,0.0,9.691155761827378,304.9826530612245,171.94902700604018
DDO064,6.8,0.69,18.4,4.62,2.49,13.92,0.0,14.140951170271396,200.86014492753623,252.39082295257631
