event_name,catalog,m1_source,m2_source,chi_eff,final_mass_source,eta,loss_frac_obs,loss_frac_d0,loss_frac_spin_only,residual,domain
GW250119_190238,GWTC-5.0,11.54,9.95,0.09,20.56,0.24863144761347547,0.04327594229874359,0.04913934764894612,0.049581777084036216,0.005863405350202529,clean_BBH
GW250119_025138,GWTC-5.0,33.8,26.7,0.06,57.1,0.24655692917150465,0.05619834710743799,0.047374819483722796,0.04847695441629285,-0.008823527623715195,clean_BBH
GW250118_170523,GWTC-5.0,38.1,29.6,0.12,64.4,0.2460590536492345,0.04874446085672078,0.048552087855226356,0.04981271024114298,-0.00019237300149442527,clean_BBH
GW250118_055802,GWTC-5.0,10.3,6.9,0.11,16.6,0.24023120605732823,0.034883720930232634,0.04530490809403842,0.048348180207637204,0.010421187163805787,clean_BBH
GW250118_023225,GWTC-5.0,44.0,31.0,0.04,71.0,0.2424888888888889,0.05333333333333334,0.044893960442387026,0.04725402398392953,-0.00843937289094631,clean_BBH
GW250116_015318,GWTC-5.0,34.2,21.3,0.15,53.0,0.2364937910883857,0.04504504504504504,0.044487990034227654,0.048628954442176964,-0.0005570550108173894,clean_BBH
GW250114_082203,GWTC-5.0,33.76,32.26,-0.03,62.9,0.2498709459949942,0.04725840654347164,0.04750844171521862,0.047550290033347764,0.00025003517174698037,clean_BBH
GW250109_074552,GWTC-5.0,39.0,30.2,0.07,65.9,0.24595709846637037,0.047687861271676256,0.047282582869270784,0.048573579546986045,-0.000405278402405472,clean_BBH
GW250109_010541,GWTC-5.0,37.5,27.4,-0.11,62.2,0.24394528977851423,0.04160246533127893,0.04368298101498669,0.04559397979751911,0.002080515683707755,clean_BBH
GW250108_152221,GWTC-5.0,54.0,36.0,0.05,86.0,0.24,0.044444444444444446,0.04384461184805377,0.04695225722947127,-0.0005998325963906745,clean_BBH
GW250104_015122,GWTC-5.0,45.8,34.5,0.11,76.0,0.24504930917527518,0.05354919053549187,0.04776692963916929,0.04934300848775908,-0.005782260896322583,clean_BBH
GW250101_011205,GWTC-5.0,30.0,21.1,-0.05,48.7,0.2424163510403223,0.04696673189823872,0.043468906451829215,0.045847519036912976,-0.0034978254464095027,clean_BBH
GW241231_054133,GWTC-5.0,12.4,7.1,0.08,18.7,0.23153188691650228,0.04102564102564106,0.040345355838954156,0.04586883037757428,-0.0006802851866869047,clean_BBH
GW241230_233618,GWTC-5.0,68.0,49.0,-0.14,112.0,0.243407115201987,0.042735042735042736,0.04325611096680837,0.04533163009557606,0.000521068231765634,clean_BBH
GW241230_084504,GWTC-5.0,42.4,33.5,-0.14,72.4,0.24656254936371788,0.0461133069828722,0.04483600168135493,0.04593343351736656,-0.001277305301517269,clean_BBH
GW241229_155844,GWTC-5.0,52.0,33.0,0.05,82.0,0.23750865051903114,0.03529411764705882,0.04261489208245217,0.046452988513840054,0.0073207744353933485,clean_BBH
GW241225_082815,GWTC-5.0,55.7,42.2,-0.17,94.0,0.24524618625455297,0.039836567926455624,0.04409008026276828,0.045598814254962816,0.004253512336312659,clean_BBH
GW241225_042553,GWTC-5.0,12.4,8.1,0.12,19.6,0.2390005948839976,0.04390243902439017,0.04493902013534368,0.048347455664727534,0.001036581110953505,clean_BBH
GW241210_120900,GWTC-5.0,40.0,23.6,-0.07,62.0,0.2333768442704007,0.025157232704402538,0.0388886119526165,0.043890932682368766,0.013731379248213965,clean_BBH
GW241210_060606,GWTC-5.0,29.0,21.4,0.04,47.9,0.2443153187200806,0.04960317460317461,0.045817986404331656,0.04761883818344459,-0.003785188198842951,clean_BBH
GW241201_055758,GWTC-5.0,47.0,33.0,0.13,76.0,0.24234375,0.05,0.04689732172085925,0.04930667158778268,-0.00310267827914075,clean_BBH
