galaxy,n_points,quality_flag,radius_min,radius_max,rmse_baryon_only,rmse_shape_only,rmse_one_global_scale,delta_shape_vs_baryon,delta_global_vs_baryon,inner_rmse,outer_rmse,gas_fraction_proxy,disk_fraction_proxy,bulge_present,surface_brightness_proxy,failure_class
CamB,9,,0.16,1.79,4.616823441597752,8.150473527822276,4.663990373489364,3.533650086224524,0.047166931891611696,8.546123712033815,7.819553012085012,0.20869917725057913,0.7913008227494209,False,11.882222222222222,DISK_DOMINATED
D512-2,4,,0.96,3.83,12.493950382400962,18.159619490391428,12.405206304517575,5.665669107990466,-0.08874407788338701,18.483884988831022,17.82945752936066,0.10555656241496218,0.8944434375850379,False,7.09,INSUFFICIENT_POINTS
D564-8,6,,0.51,3.07,10.049576841590154,13.851544483021861,10.00446463559508,3.801967641431707,-0.04511220599507482,14.647127346517802,13.007391345890882,0.3620636160595001,0.6379363839404999,False,1.8533333333333333,GLOBAL_SHAPE
D631-7,16,,0.45,7.19,24.585232373035097,31.356179197941273,24.381960401831883,6.770946824906176,-0.20327197120321472,33.11754014903366,29.48980302178964,0.5764026181424977,0.4235973818575023,False,4.180625000000001,GLOBAL_SHAPE
DDO064,14,,0.1,2.98,14.591505838594633,14.061065338093147,14.511661577431262,-0.5304405005014861,-0.0798442611633714,14.906957491609592,13.160916959983975,0.4226179367017841,0.577382063298216,False,11.647142857142859,AMPLITUDE_ONLY
DDO154,12,,0.49,5.92,22.680803776816237,27.195734979696493,22.531698310590702,4.5149312028802555,-0.1491054662255351,29.23789751845231,24.98722375279525,0.6888051070738436,0.3111948929261564,False,1.9258333333333333,GAS_DOMINATED
DDO161,31,,0.6,13.37,21.314890160291675,36.24428020882113,21.100098409619743,14.929390048529456,-0.21479175067193168,38.29580966852901,34.20941729900449,0.6529045089919536,0.3470954910080463,False,6.062580645161292,GAS_DOMINATED
DDO168,10,,0.41,4.12,18.767038568918075,29.182907955449156,18.64583138037981,10.415869386531082,-0.12120718853826418,30.698794160644006,27.58384075060696,0.6396087298921852,0.3603912701078148,False,6.113999999999999,GAS_DOMINATED
DDO170,8,,1.87,12.33,24.535484730575124,32.22109326267585,24.39442536659176,7.685608532100726,-0.14105936398336283,33.958937908845044,30.384012871694832,0.6131628576573969,0.3868371423426032,False,2.07875,GAS_DOMINATED
ESO079-G014,15,,0.41,16.67,28.886704382352235,92.38940096878534,28.495880255932896,63.5026965864331,-0.3908241264193393,102.15320335768492,82.90814380755153,0.04398077572063715,0.9560192242793628,False,123.336,DISK_DOMINATED
